"generation_unit_id","source_construction_id","unit_type","amendment_number","amendment_roman","section_number","atom_count","atom_ids","source_construction_text","context_required","source_exact","reconstruction_status","adjudication_status","mechanism_count","primary_family","secondary_family","normalized_mechanism_plan","negative_condition_plan","jurisdiction_scope_plan","reviewer_note","orynth_mapping_status","correspondence_grade"
"US-AM-MECH-UNIT-000022","US-AM-ATOM-CAND-000022","UNIT-ATOM","16","XVI","","1","US-AM-ATOM-000063","The Congress shall have power to lay and collect taxes on incomes, from whatever source derived, without apportionment among the several States, and without regard to any census or enumeration.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000023","US-AM-ATOM-CAND-000023","UNIT-CONSTRUCTION","17","XVII","","5","US-AM-ATOM-000064|US-AM-ATOM-000065|US-AM-ATOM-000066|US-AM-ATOM-000067|US-AM-ATOM-000068","The Senate of the United States shall be composed of two Senators from each State, elected by the people thereof, for six years; and each Senator shall have one vote. The electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislatures.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000024","US-AM-ATOM-CAND-000024","UNIT-CONSTRUCTION","17","XVII","","2","US-AM-ATOM-000069|US-AM-ATOM-000070","When vacancies happen in the representation of any State in the Senate, the executive authority of such State shall issue writs of election to fill such vacancies: Provided, That the legislature of any State may empower the executive thereof to make temporary appointments until the people fill the vacancies by election as the legislature may direct.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000025","US-AM-ATOM-CAND-000025","UNIT-ATOM","17","XVII","","1","US-AM-ATOM-000071","This amendment shall not be so construed as to affect the election or term of any Senator chosen before it becomes valid as part of the Constitution.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000026","US-AM-ATOM-CAND-000026","UNIT-CONSTRUCTION","18","XVIII","1","5","US-AM-ATOM-000072|US-AM-ATOM-000073|US-AM-ATOM-000074|US-AM-ATOM-000075|US-AM-ATOM-000076","After one year from the ratification of this article the manufacture, sale, or transportation of intoxicating liquors within, the importation thereof into, or the exportation thereof from the United States and all territory subject to the jurisdiction thereof for beverage purposes is hereby prohibited.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000027","US-AM-ATOM-CAND-000027","UNIT-ATOM","18","XVIII","2","1","US-AM-ATOM-000077","The Congress and the several States shall have concurrent power to enforce this article by appropriate legislation.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000028","US-AM-ATOM-CAND-000028","UNIT-ATOM","18","XVIII","3","1","US-AM-ATOM-000078","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of the several States, as provided in the Constitution, within seven years from the date of the submission hereof to the States by the Congress.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000029","US-AM-ATOM-CAND-000029","UNIT-ATOM","19","XIX","","1","US-AM-ATOM-000079","The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of sex.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000030","US-AM-ATOM-CAND-000030","UNIT-ATOM","19","XIX","","1","US-AM-ATOM-000080","Congress shall have power to enforce this article by appropriate legislation.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000031","US-AM-ATOM-CAND-000031","UNIT-CONSTRUCTION","20","XX","1","3","US-AM-ATOM-000081|US-AM-ATOM-000082|US-AM-ATOM-000083","The terms of the President and Vice President shall end at noon on the 20th day of January, and the terms of Senators and Representatives at noon on the 3d day of January, of the years in which such terms would have ended if this article had not been ratified; and the terms of their successors shall then begin.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000032","US-AM-ATOM-CAND-000032","UNIT-CONSTRUCTION","20","XX","2","2","US-AM-ATOM-000084|US-AM-ATOM-000085","The Congress shall assemble at least once in every year, and such meeting shall begin at noon on the 3d day of January, unless they shall by law appoint a different day.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000033","US-AM-ATOM-CAND-000033","UNIT-CONSTRUCTION","20","XX","3","4","US-AM-ATOM-000086|US-AM-ATOM-000087|US-AM-ATOM-000088|US-AM-ATOM-000089","If, at the time fixed for the beginning of the term of the President, the President elect shall have died, the Vice President elect shall become President. If a President shall not have been chosen before the time fixed for the beginning of his term, or if the President elect shall have failed to qualify, then the Vice President elect shall act as President until a President shall have qualified; and the Congress may by law provide for the case wherein neither a President elect nor a Vice President elect shall have qualified, declaring who shall then act as President, or the manner in which one who is to act shall be selected, and such person shall act accordingly until a President or Vice President shall have qualified.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000034","US-AM-ATOM-CAND-000034","UNIT-CONSTRUCTION","20","XX","4","2","US-AM-ATOM-000090|US-AM-ATOM-000091","The Congress may by law provide for the case of the death of any of the persons from whom the House of Representatives may choose a President whenever the right of choice shall have devolved upon them, and for the case of the death of any of the persons from whom the Senate may choose a Vice President whenever the right of choice shall have devolved upon them.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000035","US-AM-ATOM-CAND-000035","UNIT-ATOM","20","XX","5","1","US-AM-ATOM-000092","Sections 1 and 2 shall take effect on the 15th day of October following the ratification of this article.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000036","US-AM-ATOM-CAND-000036","UNIT-ATOM","20","XX","6","1","US-AM-ATOM-000093","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of three-fourths of the several States within seven years from the date of its submission.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000037","US-AM-ATOM-CAND-000037","UNIT-ATOM","21","XXI","1","1","US-AM-ATOM-000094","The eighteenth article of amendment to the Constitution of the United States is hereby repealed.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000038","US-AM-ATOM-CAND-000038","UNIT-ATOM","21","XXI","2","1","US-AM-ATOM-000095","The transportation or importation into any State, Territory, or possession of the United States for delivery or use therein of intoxicating liquors, in violation of the laws thereof, is hereby prohibited.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000039","US-AM-ATOM-CAND-000039","UNIT-ATOM","21","XXI","3","1","US-AM-ATOM-000096","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by conventions in the several States, as provided in the Constitution, within seven years from the date of the submission hereof to the States by the Congress.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000040","US-AM-ATOM-CAND-000040","UNIT-CONSTRUCTION","22","XXII","1","4","US-AM-ATOM-000097|US-AM-ATOM-000098|US-AM-ATOM-000099|US-AM-ATOM-000100","No person shall be elected to the office of the President more than twice, and no person who has held the office of President, or acted as President, for more than two years of a term to which some other person was elected President shall be elected to the office of the President more than once. But this Article shall not apply to any person holding the office of President when this Article was proposed by the Congress, and shall not prevent any person who may be holding the office of President, or acting as President, during the term within which this Article becomes operative from holding the office of President or acting as President during the remainder of such term.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000041","US-AM-ATOM-CAND-000041","UNIT-ATOM","22","XXII","2","1","US-AM-ATOM-000101","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of three-fourths of the several States within seven years from the date of its submission to the States by the Congress.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000042","US-AM-ATOM-CAND-000042|US-AM-ATOM-CAND-000043","UNIT-CONSTRUCTION","23","XXIII","1","3","US-AM-ATOM-000102|US-AM-ATOM-000103|US-AM-ATOM-000104","The District constituting the seat of Government of the United States shall appoint in such manner as the Congress may direct: A number of electors of President and Vice President equal to the whole number of Senators and Representatives in Congress to which the District would be entitled if it were a State, but in no event more than the least populous State; they shall be in addition to those appointed by the States, but they shall be considered, for the purposes of the election of President and Vice President, to be electors appointed by a State; and they shall meet in the District and perform such duties as provided by the twelfth article of amendment.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000043","US-AM-ATOM-CAND-000044","UNIT-ATOM","23","XXIII","2","1","US-AM-ATOM-000105","The Congress shall have power to enforce this article by appropriate legislation.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
