"atom_id","amendment_number","amendment_roman","section_number","parent_candidate_id","parent_source_segment_id","source_object_id","source_path","source_line_start","source_line_end","parent_decision","child_ordinal","child_count","source_excerpt","parent_source_text","source_exact","parent_context_required","context_scope","reconstruction_status","atomic_status","interpretation_status","mechanism_status","predicate_status","crosswalk_status"
"US-AM-ATOM-000021","6","VI","","US-AM-ATOM-CAND-000006","US-AM-SEG-000012","CONST.AMENDMENT.06","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","443","443","SPLIT","5","6","; to have compulsory process for obtaining witnesses in his favor","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","TRUE","TRUE","US-AM-ATOM-CAND-000006","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000022","6","VI","","US-AM-ATOM-CAND-000006","US-AM-SEG-000012","CONST.AMENDMENT.06","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","443","443","SPLIT","6","6",", and to have the Assistance of Counsel for his defence.","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","TRUE","TRUE","US-AM-ATOM-CAND-000006","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000023","7","VII","","US-AM-ATOM-CAND-000007","US-AM-SEG-000014","CONST.AMENDMENT.07","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","447","447","SPLIT","1","2","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved, and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","TRUE","TRUE","US-AM-ATOM-CAND-000007","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000024","7","VII","","US-AM-ATOM-CAND-000007","US-AM-SEG-000014","CONST.AMENDMENT.07","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","447","447","SPLIT","2","2",", and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved, and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","TRUE","TRUE","US-AM-ATOM-CAND-000007","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000025","8","VIII","","US-AM-ATOM-CAND-000008","US-AM-SEG-000016","CONST.AMENDMENT.08","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","451","451","SPLIT","1","3","Excessive bail shall not be required","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","TRUE","TRUE","US-AM-ATOM-CAND-000008","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000026","8","VIII","","US-AM-ATOM-CAND-000008","US-AM-SEG-000016","CONST.AMENDMENT.08","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","451","451","SPLIT","2","3",", nor excessive fines imposed","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","TRUE","TRUE","US-AM-ATOM-CAND-000008","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000027","8","VIII","","US-AM-ATOM-CAND-000008","US-AM-SEG-000016","CONST.AMENDMENT.08","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","451","451","SPLIT","3","3",", nor cruel and unusual punishments inflicted.","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","TRUE","TRUE","US-AM-ATOM-CAND-000008","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000028","9","IX","","US-AM-ATOM-CAND-000009","US-AM-SEG-000018","CONST.AMENDMENT.09","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","455","455","RETAIN","1","1","The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","TRUE","FALSE","NONE","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000029","10","X","","US-AM-ATOM-CAND-000010","US-AM-SEG-000020","CONST.AMENDMENT.10","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","459","459","RETAIN","1","1","The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","TRUE","FALSE","NONE","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000030","11","XI","","US-AM-ATOM-CAND-000011","US-AM-SEG-000024","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","376","376","RETAIN","1","1","The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","TRUE","FALSE","NONE","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
