"segment_id","amendment_number","amendment_roman","source_object_id","source_path","source_line","amendment_segment_ordinal","section_number","segment_class","source_text","extraction_status","interpretation_status"
"US-AM-SEG-000037","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","402","1","","HEADING","AMENDMENT XIV","EXTRACTED","NONE"
"US-AM-SEG-000038","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","404","2","","RATIFICATION_METADATA","Passed by Congress June 13, 1866. Ratified July 9, 1868.","EXTRACTED","NONE"
"US-AM-SEG-000039","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","406","3","","EDITORIAL_NOTE","Note: Article I, section 2, of the Constitution was modified by section 2 of the 14th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000040","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","408","4","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
"US-AM-SEG-000041","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","410","5","1","OPERATIVE_TEXT","All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside. No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States; nor shall any State deprive any person of life, liberty, or property, without due process of law; nor deny to any person within its jurisdiction the equal protection of the laws.","EXTRACTED","NONE"
"US-AM-SEG-000042","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","412","6","2","SECTION_LABEL","Section 2.","EXTRACTED","NONE"
"US-AM-SEG-000043","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","414","7","2","OPERATIVE_TEXT","Representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State, excluding Indians not taxed. But when the right to vote at any election for the choice of electors for President and Vice-President of the United States, Representatives in Congress, the Executive and Judicial officers of a State, or the members of the Legislature thereof, is denied to any of the male inhabitants of such State, being twenty-one years of age,* and citizens of the United States, or in any way abridged, except for participation in rebellion, or other crime, the basis of representation therein shall be reduced in the proportion which the number of such male citizens shall bear to the whole number of male citizens twenty-one years of age in such State.","EXTRACTED","NONE"
"US-AM-SEG-000044","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","416","8","3","SECTION_LABEL","Section 3.","EXTRACTED","NONE"
"US-AM-SEG-000045","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","418","9","3","OPERATIVE_TEXT","No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability.","EXTRACTED","NONE"
"US-AM-SEG-000046","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","420","10","4","SECTION_LABEL","Section 4.","EXTRACTED","NONE"
"US-AM-SEG-000047","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","422","11","4","OPERATIVE_TEXT","The validity of the public debt of the United States, authorized by law, including debts incurred for payment of pensions and bounties for services in suppressing insurrection or rebellion, shall not be questioned. But neither the United States nor any State shall assume or pay any debt or obligation incurred in aid of insurrection or rebellion against the United States, or any claim for the loss or emancipation of any slave; but all such debts, obligations and claims shall be held illegal and void.","EXTRACTED","NONE"
"US-AM-SEG-000048","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","424","12","5","SECTION_LABEL","Section 5.","EXTRACTED","NONE"
"US-AM-SEG-000049","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","426","13","5","OPERATIVE_TEXT","The Congress shall have power to enforce, by appropriate legislation, the provisions of this article.","EXTRACTED","NONE"
"US-AM-SEG-000050","14","XIV","CONST.AMENDMENT.14","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","428","14","5","EDITORIAL_NOTE","*Changed by section 1 of the 26th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000051","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","430","1","","HEADING","AMENDMENT XV","EXTRACTED","NONE"
"US-AM-SEG-000052","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","432","2","","RATIFICATION_METADATA","Passed by Congress February 26, 1869. Ratified February 3, 1870.","EXTRACTED","NONE"
"US-AM-SEG-000053","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","434","3","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
"US-AM-SEG-000054","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","436","4","1","OPERATIVE_TEXT","The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of race, color, or previous condition of servitude--","EXTRACTED","NONE"
"US-AM-SEG-000055","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","438","5","2","SECTION_LABEL","Section 2.","EXTRACTED","NONE"
"US-AM-SEG-000056","15","XV","CONST.AMENDMENT.15","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","440","6","2","OPERATIVE_TEXT","The Congress shall have power to enforce this article by appropriate legislation.","EXTRACTED","NONE"
"US-AM-SEG-000057","16","XVI","CONST.AMENDMENT.16","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","442","1","","HEADING","AMENDMENT XVI","EXTRACTED","NONE"
"US-AM-SEG-000058","16","XVI","CONST.AMENDMENT.16","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","444","2","","RATIFICATION_METADATA","Passed by Congress July 2, 1909. Ratified February 3, 1913.","EXTRACTED","NONE"
"US-AM-SEG-000059","16","XVI","CONST.AMENDMENT.16","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","446","3","","EDITORIAL_NOTE","Note: Article I, section 9, of the Constitution was modified by amendment 16.","EXTRACTED","NONE"
"US-AM-SEG-000060","16","XVI","CONST.AMENDMENT.16","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","448","4","","OPERATIVE_TEXT","The Congress shall have power to lay and collect taxes on incomes, from whatever source derived, without apportionment among the several States, and without regard to any census or enumeration.","EXTRACTED","NONE"
"US-AM-SEG-000061","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","450","1","","HEADING","AMENDMENT XVII","EXTRACTED","NONE"
"US-AM-SEG-000062","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","452","2","","RATIFICATION_METADATA","Passed by Congress May 13, 1912. Ratified April 8, 1913.","EXTRACTED","NONE"
"US-AM-SEG-000063","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","454","3","","EDITORIAL_NOTE","Note: Article I, section 3, of the Constitution was modified by the 17th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000064","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","456","4","","OPERATIVE_TEXT","The Senate of the United States shall be composed of two Senators from each State, elected by the people thereof, for six years; and each Senator shall have one vote. The electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislatures.","EXTRACTED","NONE"
"US-AM-SEG-000065","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","458","5","","OPERATIVE_TEXT","When vacancies happen in the representation of any State in the Senate, the executive authority of such State shall issue writs of election to fill such vacancies: Provided, That the legislature of any State may empower the executive thereof to make temporary appointments until the people fill the vacancies by election as the legislature may direct.","EXTRACTED","NONE"
"US-AM-SEG-000066","17","XVII","CONST.AMENDMENT.17","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","460","6","","OPERATIVE_TEXT","This amendment shall not be so construed as to affect the election or term of any Senator chosen before it becomes valid as part of the Constitution.","EXTRACTED","NONE"
"US-AM-SEG-000067","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","462","1","","HEADING","AMENDMENT XVIII","EXTRACTED","NONE"
"US-AM-SEG-000068","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","464","2","","RATIFICATION_METADATA","Passed by Congress December 18, 1917. Ratified January 16, 1919. Repealed by amendment 21.","EXTRACTED","NONE"
